quarter,period_start,period_end,overpayment_rate_pct,underpayment_697j_rate_pct,underpayment_1096e_rate_pct,source_url,verified_on,verification_depth
2026-Q1,2026-01-01,2026-03-31,6.0,9.5,11.0,https://www.tax.ny.gov/pay/interest/2026/p1.htm,2026-06-28,full-text
2026-Q2,2026-04-01,2026-06-30,5.0,8.5,10.0,https://www.tax.ny.gov/pay/interest/2026/p2.htm,2026-06-28,full-text
